Company Name,Industry,Symbol
3M,industrials,MMM
A. O. Smith,industrials,AOS
Abbott Laboratories,healthcare,ABT
AbbVie,healthcare,ABBV
Accenture,it,ACN
Adobe Inc.,it,ADBE
Advanced Micro Devices,it,AMD
AES Corporation,utilities,AES
Aflac,financials,AFL
Agilent Technologies,healthcare,A
Air Products,materials,APD
Airbnb,consumer_disc,ABNB
Akamai Technologies,it,AKAM
Albemarle Corporation,materials,ALB
Alexandria Real Estate Equities,real_estate,ARE
Align Technology,healthcare,ALGN
Allegion,industrials,ALLE
Alliant Energy,utilities,LNT
Allstate,financials,ALL
Alnylam Pharmaceuticals,healthcare,ALNY
Alphabet Inc. (Class A),communication,GOOGL
Alphabet Inc. (Class C),communication,GOOG
Altria,consumer_staples,MO
Amazon,consumer_disc,AMZN
Amcor,materials,AMCR
Ameren,utilities,AEE
American Electric Power,utilities,AEP
American Express,financials,AXP
American International Group,financials,AIG
American Tower,real_estate,AMT
American Water Works,utilities,AWK
Ameriprise Financial,financials,AMP
Ametek,industrials,AME
Amgen,healthcare,AMGN
Amphenol,it,APH
Analog Devices,it,ADI
Aon plc,financials,AON
APA Corporation,energy,APA
Apollo Global Management,financials,APO
Apple Inc.,it,AAPL
Applied Materials,it,AMAT
AppLovin,it,APP
Aptiv,consumer_disc,APTV
Arch Capital Group,financials,ACGL
Archer Daniels Midland,consumer_staples,ADM
Ares Management,financials,ARES
Arista Networks,it,ANET
Arm Holdings,it,ARM
Arthur J. Gallagher & Co.,financials,AJG
ASML Holding,it,ASML
Assurant,financials,AIZ
AT&T,communication,T
Atlassian,it,TEAM
Atmos Energy,utilities,ATO
Autodesk,it,ADSK
Automatic Data Processing,industrials,ADP
AutoZone,consumer_disc,AZO
AvalonBay Communities,real_estate,AVB
Avery Dennison,materials,AVY
Axon Enterprise,industrials,AXON
Baker Hughes,energy,BKR
Ball Corporation,materials,BALL
Bank of America,financials,BAC
Baxter International,healthcare,BAX
Becton Dickinson,healthcare,BDX
